dataset,region,noise,arm,mae,mae_p,err_in,err_in_p,ph
medical_charges,sparse_all,outlier,kcenter,5.976270001289314,2.6378053519238165e-08,7.0399786313172745,0.017101069545240932,1.2170473517869596e-07
medical_charges,sparse_all,outlier,kcenter_a1,10.16467116170396,2.6343371928305714e-12,13.662648835342193,2.0810681753857807e-05,2.3709034735475143e-11
medical_charges,sparse_all,outlier,loss,-21.516857412930772,8.881784197001252e-15,-22.323876248430047,6.010637926934237e-06,9.769962616701378e-14
medical_charges,sparse_all,outlier,jtt,-58.77960276996541,1.7763568394002505e-15,-60.32173920047128,4.218847493575595e-12,2.1316282072803006e-14
medical_charges,sparse_all,outlier,rho,5.712255657297383,2.434094703573919e-08,7.4050432648093425,0.0013800985654270903,1.2170473517869596e-07
medical_charges,sparse_all,outlier,rho_a1,3.6645843130349736,0.009964281765361349,6.023368139407844,0.04294367729928261,0.011516604332541647
medical_charges,sparse_all,outlier,ws_default,2.349850025216069,0.005758302166270823,8.805842849467682,0.0010644297047850415,0.011516604332541647
medical_charges,sparse_all,outlier,ws_tuned,6.6292077327647325,7.94031507211912e-13,10.411296117875851,0.0002738644978439453,7.94031507211912e-12
medical_charges,sparse_all,outlier,rho_landscape_a1,6.013787790578544,3.38235121510877e-06,7.6935644405221115,0.003913313547160513,1.014705364532631e-05
medical_charges,sparse_all,outlier,rho_filter_a1,6.063624464677977,3.3822118439275073e-09,10.431460180572268,0.0001302957841744501,2.0293271063565044e-08
medical_charges,sparse_all,outlier,all_data,11.966262802713825,7.151434999741468e-11,15.657888304897394,1.603124333549033e-05,5.006004499819028e-10
medical_charges,sparse_init,clean,uniform,3.3709629469165536,3.863753761379485e-11,2.7565098977188436,0.028256978552906986,3.863753761379485e-10
medical_charges,sparse_init,clean,kcenter,2.1909894184555325,7.518488965629899e-06,1.985195538671718,0.040940454006349825,4.5110933793779395e-05
medical_charges,sparse_init,clean,kcenter_a1,3.553206776855351,4.9604764740251994e-11,2.0238347054667587,0.04830953815983641,4.4644288266226795e-10
medical_charges,sparse_init,clean,loss,-8.936587980436988,5.329070518200751e-15,-17.607466279285102,1.0192735544478637e-11,5.861977570020827e-14
medical_charges,sparse_init,clean,jtt,-21.957545833586003,1.7763568394002505e-15,-39.19931028146233,1.5631940186722204e-13,2.1316282072803006e-14
medical_charges,sparse_init,clean,rho,1.3619664453021334,0.0002308749851795966,0.8314417981584729,0.652772195247282,0.001013983664810425
medical_charges,sparse_init,clean,rho_a1,-0.516016650754646,0.6876822045635382,-6.1653468211499325,0.004912360514200742,0.6876822045635382
medical_charges,sparse_init,clean,ws_default,1.0171983048529163,0.0021981232450851707,-0.15622677760183687,0.5086300594933544,0.006594369735255512
medical_charges,sparse_init,clean,ws_tuned,1.3159963484742503,0.000202796732962085,1.6451577807841447,0.3724861917482851,0.001013983664810425
medical_charges,sparse_init,clean,rho_landscape_a1,0.6251575966187504,0.20447619481721802,-2.4741375733539104,0.16293225736063377,0.40895238963443603
medical_charges,sparse_init,clean,rho_filter_a1,2.6857262237611557,1.080529443697742e-09,2.5407058877282838,0.12799334338745183,8.644235549581936e-09
medical_charges,sparse_init,clean,all_data,3.8552611240446386,4.028586058524297e-06,4.218131709584192,0.004043947968749961,2.820010240967008e-05
medical_charges,sparse_init,outlier,uniform,6.782011774901147,8.008242957657785e-10,5.068380377323696,0.029727315082014982,5.60577007036045e-09
medical_charges,sparse_init,outlier,kcenter,5.319596553054485,5.6804637029728156e-06,4.007937051246792,0.04610038786489312,2.8402318514864078e-05
medical_charges,sparse_init,outlier,kcenter_a1,8.324466415969722,3.6148861681795097e-12,8.053523398381103,0.004912360514200742,3.253397551361559e-11
medical_charges,sparse_init,outlier,loss,-23.034032321150605,1.7763568394002505e-14,-36.690407990578855,8.237842195057965e-07,1.9539925233402755e-13
medical_charges,sparse_init,outlier,jtt,-60.15635142168628,1.7763568394002505e-15,-80.96527578627278,2.433608869978343e-13,2.1316282072803006e-14
medical_charges,sparse_init,outlier,rho,4.32774649367147,7.500770700019643e-05,3.8325925750204335,0.10110987171644048,0.00022558468796773923
medical_charges,sparse_init,outlier,rho_a1,1.892790916625188,0.13549845162767582,-5.9143832646926535,0.18444897927691706,0.13549845162767582
medical_charges,sparse_init,outlier,ws_default,1.9763047342598394,0.04193213473556767,1.064559385177689,0.40970358186013023,0.08386426947113534
medical_charges,sparse_init,outlier,ws_tuned,4.439861181682694,1.0642100534141719e-08,2.9502614952930513,0.15714035289247086,6.385260320485031e-08
medical_charges,sparse_init,outlier,rho_landscape_a1,5.160709573415933,5.639617199193481e-05,1.37624026221681,0.30905100446984335,0.00022558468796773923
medical_charges,sparse_init,outlier,rho_filter_a1,6.296765452844065,5.610267805877811e-11,4.615927939254966,0.005758302166270823,4.488214244702249e-10
medical_charges,sparse_init,outlier,all_data,11.525039794542831,5.861977570020827e-14,14.466359573507551,1.3054913772236887e-07,5.861977570020827e-13
synth2d,hard,clean,uniform,0.7406564699663807,0.11171837302823029,0.18722450285780992,0.4490067617286915,0.22343674605646058
synth2d,hard,clean,kcenter,2.0808446032512986,0.0009504084140701252,1.2445004284388226,0.017575449774248852,0.0028512252422103757
synth2d,hard,clean,kcenter_a1,5.397169496421054,4.440892098500626e-14,2.589083097488979,2.3344064459251967e-09,4.884981308350689e-13
synth2d,hard,clean,loss,4.461683174762894,3.586156610779767e-06,1.739210493557601,0.1406841997467243,1.804047926512453e-05
synth2d,hard,clean,jtt,0.3337720065802964,0.9771032283055696,-0.9594739576515624,0.040940454006349825,0.9771032283055696
synth2d,hard,clean,rho,6.775901182845255,6.616929226765933e-12,1.1750973154647673,0.4375680954084249,5.95523630408934e-11
synth2d,hard,clean,rho_a1,8.723051016735656,3.489741828843762e-10,0.7724653044896533,0.7448958960780061,2.7917934630750096e-09
synth2d,hard,clean,ws_default,2.7962901412272316,2.191284211150446e-05,1.0817537125887584,0.0008806696990912855,8.765136844601784e-05
synth2d,hard,clean,ws_tuned,6.535403778284006,2.239985974483716e-12,2.194273072356132,0.00010381446904439429,2.2399859744837158e-11
